,year,age,cohort,sex,race,educ,realinc,gunlaw,grass,wtssall
343,1972,49.0,1923.0,2,1,13.0,24366.0,1.0,,0.8893
344,1972,27.0,1945.0,1,2,13.0,37226.0,1.0,,1.3339
345,1972,20.0,1952.0,2,1,13.0,,1.0,,1.3339
346,1972,44.0,1928.0,2,1,3.0,18951.0,1.0,,0.8893
347,1972,54.0,1918.0,1,1,16.0,8122.0,1.0,,1.3339
348,1972,40.0,1932.0,2,2,7.0,18951.0,,,1.3339
349,1972,29.0,1943.0,2,1,12.0,43994.0,1.0,,1.3339
350,1972,54.0,1918.0,1,1,12.0,60915.0,1.0,,1.3339
351,1972,64.0,1908.0,1,1,11.0,18951.0,1.0,,1.3339
352,1972,48.0,1924.0,1,1,12.0,30458.0,2.0,,1.3339
353,1972,38.0,1934.0,2,1,18.0,37226.0,2.0,,0.4446
354,1972,19.0,1953.0,1,1,11.0,30458.0,2.0,,1.3339
355,1972,36.0,1936.0,2,1,12.0,50763.0,2.0,,0.8893
356,1972,55.0,1917.0,1,1,10.0,30458.0,1.0,,0.8893
357,1972,24.0,1948.0,1,1,12.0,30458.0,1.0,,0.8893
358,1972,58.0,1914.0,2,1,12.0,24366.0,2.0,,1.3339
359,1972,61.0,1911.0,1,1,17.0,60915.0,1.0,,2.2232
360,1972,27.0,1945.0,2,2,12.0,8122.0,2.0,,0.4446
361,1972,29.0,1943.0,1,1,12.0,18951.0,2.0,,0.4446
362,1972,74.0,1898.0,1,1,5.0,50763.0,1.0,,1.7786
363,1972,31.0,1941.0,1,1,15.0,37226.0,1.0,,0.8893
364,1972,20.0,1952.0,1,2,14.0,24366.0,1.0,,1.3339
365,1972,42.0,1930.0,1,1,12.0,18951.0,1.0,,0.8893
366,1972,49.0,1923.0,2,1,12.0,37226.0,1.0,,0.8893
367,1972,83.0,1889.0,1,1,8.0,13537.0,1.0,,0.8893
368,1972,54.0,1918.0,1,1,18.0,109355.0,1.0,,1.3339
369,1972,19.0,1953.0,1,1,11.0,37226.0,2.0,,1.7786
370,1972,26.0,1946.0,2,2,16.0,18951.0,1.0,,1.3339
371,1972,25.0,1947.0,1,1,12.0,37226.0,1.0,,1.7786
372,1972,45.0,1927.0,1,1,14.0,60915.0,1.0,,0.8893
373,1972,29.0,1943.0,1,1,10.0,30458.0,1.0,,0.8893
374,1972,21.0,1951.0,1,1,10.0,24366.0,1.0,,0.8893
375,1972,32.0,1940.0,2,1,12.0,30458.0,1.0,,1.3339
376,1972,56.0,1916.0,1,1,18.0,30458.0,2.0,,1.3339
377,1972,39.0,1933.0,2,1,12.0,18951.0,1.0,,0.8893
